,city,lat,max temp,humidity,clouds,wind
115,sao filipe,35.03,54.0,62.0,40.0,31.09
116,nikolskoye,78.22,5.0,77.0,0.0,1.12
117,smidovich,12.15,82.4,78.0,0.0,17.22
118,igrim,-17.07,70.03,77.0,100.0,2.39
119,aranos,-0.41,80.51,70.0,100.0,0.25
120,avarua,60.79,8.6,91.0,40.0,5.82
121,vaitupu,-6.32,79.09,83.0,99.0,3.4
122,sidi ali,-33.59,66.99,81.0,95.0,7.0
123,kaitangata,-19.55,86.0,66.0,20.0,6.93
124,padang,40.13,44.6,20.0,0.0,15.66
125,talnakh,60.14,29.73,63.0,40.0,26.13
126,cidreira,10.57,83.68,74.0,91.0,16.69
127,sembe,-15.9,75.56,76.0,48.0,4.34
128,fukue,16.42,69.67,15.0,0.0,9.75
129,longyearbyen,33.38,53.65,37.0,0.0,2.35
130,kralendijk,47.47,9.14,63.0,0.0,1.9
131,ondjiva,-20.21,76.26,65.0,22.0,6.2
132,santa isabel do rio negro,-6.7,88.88,59.0,100.0,4.45
133,bethel,26.25,61.36,39.0,0.0,2.35
134,panguna,-29.95,57.2,87.0,26.0,4.7
135,port alfred,77.48,4.05,62.0,100.0,8.01
136,isangel,59.1,26.65,90.0,0.0,7.02
137,shunyi,13.27,84.2,48.0,100.0,10.29
138,saleaula,29.7,47.95,87.0,78.0,9.73
139,nanortalik,56.66,19.4,100.0,0.0,3.36
140,kavaratti,32.89,49.12,32.0,0.0,8.88
141,aragarcas,-42.72,60.44,79.0,67.0,27.47
142,goundam,4.95,77.07,91.0,0.0,5.86
143,lachi,35.77,35.6,72.0,1.0,4.52
144,zaysan,31.35,53.6,62.0,58.0,6.51
145,amderma,33.64,39.2,93.0,75.0,4.7
146,nata,73.51,-2.72,88.0,61.0,14.29
147,ciawi,63.84,46.4,87.0,90.0,31.09
148,sabalgarh,-0.6,82.99,78.0,11.0,14.9
149,coquimbo,21.15,64.4,93.0,0.0,2.86
150,qaanaaq,21.3,64.4,36.0,4.0,11.41
151,vao,27.97,64.15,60.0,96.0,10.74
152,puerto el triunfo,-20.63,65.03,92.0,84.0,4.85
153,palabuhanratu,60.09,41.0,93.0,75.0,21.92
154,tiznit,-37.83,59.0,72.0,75.0,23.04
155,el wasta,-34.72,66.92,52.0,24.0,14.43
156,kalmar,40.8,57.2,87.0,20.0,3.36
